gen,name,GO,description,meta
Locus_7662_Transcript_17_Length_2479_genewise_newlength_2027__CDS__180__1589,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0019216,regulation of lipid metabolic process,P
Locus_7662_Transcript_17_Length_2479_genewise_newlength_2027__CDS__180__1589,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0008652,cellular amino acid biosynthetic process,P
Locus_7662_Transcript_17_Length_2479_genewise_newlength_2027__CDS__180__1589,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0009570,chloroplast stroma,C
Locus_7662_Transcript_17_Length_2479_genewise_newlength_2027__CDS__180__1589,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0019761,glucosinolate biosynthetic process,P
Locus_7662_Transcript_17_Length_2479_genewise_newlength_2027__CDS__180__1589,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0009695,jasmonic acid biosynthetic process,P
Locus_7662_Transcript_17_Length_2479_genewise_newlength_2027__CDS__180__1589,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0009416,response to light stimulus,P
Locus_7662_Transcript_17_Length_2479_genewise_newlength_2027__CDS__180__1589,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0046686,response to cadmium ion,P
Locus_7662_Transcript_17_Length_2479_genewise_newlength_2027__CDS__180__1589,1-deoxy-d-xylulose 5-phosphate reductoisomerase,GO:0031408,oxylipin biosynthetic process,P
Locus_1030_Transcript_26_Length_4006_genewise_newlength_3992__CDS__1485__3590,1-deoxy-d-xylulose 5-phosphate synthase 1,GO:0010155,regulation of proton transport,P
Locus_1030_Transcript_26_Length_4006_genewise_newlength_3992__CDS__1485__3590,1-deoxy-d-xylulose 5-phosphate synthase 1,GO:0016117,carotenoid biosynthetic process,P
Locus_1030_Transcript_26_Length_4006_genewise_newlength_3992__CDS__1485__3590,1-deoxy-d-xylulose 5-phosphate synthase 1,GO:0006655,phosphatidylglycerol biosynthetic process,P
Locus_1030_Transcript_26_Length_4006_genewise_newlength_3992__CDS__1485__3590,1-deoxy-d-xylulose 5-phosphate synthase 1,GO:0006636,unsaturated fatty acid biosynthetic process,P
Locus_1030_Transcript_26_Length_4006_genewise_newlength_3992__CDS__1485__3590,1-deoxy-d-xylulose 5-phosphate synthase 1,GO:0006766,vitamin metabolic process,P
Locus_1030_Transcript_26_Length_4006_genewise_newlength_3992__CDS__1485__3590,1-deoxy-d-xylulose 5-phosphate synthase 1,GO:0007568,aging,P
Locus_1030_Transcript_26_Length_4006_genewise_newlength_3992__CDS__1485__3590,1-deoxy-d-xylulose 5-phosphate synthase 1,GO:0008661,1-deoxy-D-xylulose-5-phosphate synthase activity,F
Locus_1030_Transcript_26_Length_4006_genewise_newlength_3992__CDS__1485__3590,1-deoxy-d-xylulose 5-phosphate synthase 1,GO:0006546,glycine catabolic process,P
Locus_1030_Transcript_26_Length_4006_genewise_newlength_3992__CDS__1485__3590,1-deoxy-d-xylulose 5-phosphate synthase 1,GO:0019748,secondary metabolic process,P
Locus_1030_Transcript_26_Length_4006_genewise_newlength_3992__CDS__1485__3590,1-deoxy-d-xylulose 5-phosphate synthase 1,GO:0009507,chloroplast,C
Locus_1030_Transcript_26_Length_4006_genewise_newlength_3992__CDS__1485__3590,1-deoxy-d-xylulose 5-phosphate synthase 1,GO:0009106,lipoate metabolic process,P
Locus_1030_Transcript_26_Length_4006_genewise_newlength_3992__CDS__1485__3590,1-deoxy-d-xylulose 5-phosphate synthase 1,GO:0009108,coenzyme biosynthetic process,P
Locus_1030_Transcript_26_Length_4006_genewise_newlength_3992__CDS__1485__3590,1-deoxy-d-xylulose 5-phosphate synthase 1,GO:0015995,chlorophyll biosynthetic process,P
Locus_1030_Transcript_26_Length_4006_genewise_newlength_3992__CDS__1485__3590,1-deoxy-d-xylulose 5-phosphate synthase 1,GO:0046777,protein autophosphorylation,P
Locus_1030_Transcript_26_Length_4006_genewise_newlength_3992__CDS__1485__3590,1-deoxy-d-xylulose 5-phosphate synthase 1,GO:0019288,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",P
Locus_1030_Transcript_26_Length_4006_genewise_newlength_3992__CDS__1485__3590,1-deoxy-d-xylulose 5-phosphate synthase 1,GO:0019216,regulation of lipid metabolic process,P
Locus_1030_Transcript_26_Length_4006_genewise_newlength_3992__CDS__1485__3590,1-deoxy-d-xylulose 5-phosphate synthase 1,GO:0009965,leaf morphogenesis,P
Locus_1030_Transcript_26_Length_4006_genewise_newlength_3992__CDS__1485__3590,1-deoxy-d-xylulose 5-phosphate synthase 1,GO:0032880,regulation of protein localization,P
Locus_1030_Transcript_26_Length_4006_genewise_newlength_3992__CDS__1485__3590,1-deoxy-d-xylulose 5-phosphate synthase 1,GO:0009695,jasmonic acid biosynthetic process,P
Locus_1030_Transcript_26_Length_4006_genewise_newlength_3992__CDS__1485__3590,1-deoxy-d-xylulose 5-phosphate synthase 1,GO:0030154,cell differentiation,P
Locus_1030_Transcript_26_Length_4006_genewise_newlength_3992__CDS__1485__3590,1-deoxy-d-xylulose 5-phosphate synthase 1,GO:0009416,response to light stimulus,P
Locus_1030_Transcript_26_Length_4006_genewise_newlength_3992__CDS__1485__3590,1-deoxy-d-xylulose 5-phosphate synthase 1,GO:0019344,cysteine biosynthetic process,P
Locus_1030_Transcript_26_Length_4006_genewise_newlength_3992__CDS__1485__3590,1-deoxy-d-xylulose 5-phosphate synthase 1,GO:0045893,"positive regulation of transcription, DNA-dependent",P
Locus_1030_Transcript_26_Length_4006_genewise_newlength_3992__CDS__1485__3590,1-deoxy-d-xylulose 5-phosphate synthase 1,GO:0009073,aromatic amino acid family biosynthetic process,P
Locus_1030_Transcript_26_Length_4006_genewise_newlength_3992__CDS__1485__3590,1-deoxy-d-xylulose 5-phosphate synthase 1,GO:0006733,oxidoreduction coenzyme metabolic process,P
Locus_1030_Transcript_26_Length_4006_genewise_newlength_3992__CDS__1485__3590,1-deoxy-d-xylulose 5-phosphate synthase 1,GO:0031408,oxylipin biosynthetic process,P
Locus_1030_Transcript_26_Length_4006_genewise_newlength_3992__CDS__1485__3590,1-deoxy-d-xylulose 5-phosphate synthase 1,GO:0005739,mitochondrion,C
Locus_1030_Transcript_26_Length_4006_genewise_newlength_3992__CDS__1485__3590,1-deoxy-d-xylulose 5-phosphate synthase 1,GO:0009117,nucleotide metabolic process,P
Locus_3337_Transcript_9_Length_7149_genewise_newlength_7144__CDS__1507__6729,1-phosphatidylinositol-4-phosphate 5-kinase,GO:0008270,zinc ion binding,F
Locus_3337_Transcript_9_Length_7149_genewise_newlength_7144__CDS__1507__6729,1-phosphatidylinositol-4-phosphate 5-kinase,GO:0090332,stomatal closure,P
Locus_3337_Transcript_9_Length_7149_genewise_newlength_7144__CDS__1507__6729,1-phosphatidylinositol-4-phosphate 5-kinase,GO:0060560,developmental growth involved in morphogenesis,P
Locus_3337_Transcript_9_Length_7149_genewise_newlength_7144__CDS__1507__6729,1-phosphatidylinositol-4-phosphate 5-kinase,GO:0003006,developmental process involved in reproduction,P
Locus_3337_Transcript_9_Length_7149_genewise_newlength_7144__CDS__1507__6729,1-phosphatidylinositol-4-phosphate 5-kinase,GO:0035091,phosphatidylinositol binding,F
Locus_3337_Transcript_9_Length_7149_genewise_newlength_7144__CDS__1507__6729,1-phosphatidylinositol-4-phosphate 5-kinase,GO:0006807,nitrogen compound metabolic process,P
Locus_3337_Transcript_9_Length_7149_genewise_newlength_7144__CDS__1507__6729,1-phosphatidylinositol-4-phosphate 5-kinase,GO:0007033,vacuole organization,P
Locus_3337_Transcript_9_Length_7149_genewise_newlength_7144__CDS__1507__6729,1-phosphatidylinositol-4-phosphate 5-kinase,GO:0009856,pollination,P
Locus_3337_Transcript_9_Length_7149_genewise_newlength_7144__CDS__1507__6729,1-phosphatidylinositol-4-phosphate 5-kinase,GO:0003779,actin binding,F
Locus_3337_Transcript_9_Length_7149_genewise_newlength_7144__CDS__1507__6729,1-phosphatidylinositol-4-phosphate 5-kinase,GO:0016308,1-phosphatidylinositol-4-phosphate 5-kinase activity,F
Locus_3337_Transcript_9_Length_7149_genewise_newlength_7144__CDS__1507__6729,1-phosphatidylinositol-4-phosphate 5-kinase,GO:0000285,1-phosphatidylinositol-3-phosphate 5-kinase activity,F
Locus_3337_Transcript_9_Length_7149_genewise_newlength_7144__CDS__1507__6729,1-phosphatidylinositol-4-phosphate 5-kinase,GO:0016192,vesicle-mediated transport,P
Locus_3337_Transcript_9_Length_7149_genewise_newlength_7144__CDS__1507__6729,1-phosphatidylinositol-4-phosphate 5-kinase,GO:0005975,carbohydrate metabolic process,P
Locus_3337_Transcript_9_Length_7149_genewise_newlength_7144__CDS__1507__6729,1-phosphatidylinositol-4-phosphate 5-kinase,GO:0007165,signal transduction,P
Locus_3337_Transcript_9_Length_7149_genewise_newlength_7144__CDS__1507__6729,1-phosphatidylinositol-4-phosphate 5-kinase,GO:0048765,root hair cell differentiation,P
Locus_3337_Transcript_9_Length_7149_genewise_newlength_7144__CDS__1507__6729,1-phosphatidylinositol-4-phosphate 5-kinase,GO:0009555,pollen development,P
Locus_3337_Transcript_9_Length_7149_genewise_newlength_7144__CDS__1507__6729,1-phosphatidylinositol-4-phosphate 5-kinase,GO:0005768,endosome,C
Locus_3337_Transcript_9_Length_7149_genewise_newlength_7144__CDS__1507__6729,1-phosphatidylinositol-4-phosphate 5-kinase,GO:0048588,developmental cell growth,P
Locus_3337_Transcript_9_Length_7149_genewise_newlength_7144__CDS__1507__6729,1-phosphatidylinositol-4-phosphate 5-kinase,GO:0005886,plasma membrane,C
Locus_3337_Transcript_9_Length_7149_genewise_newlength_7144__CDS__1507__6729,1-phosphatidylinositol-4-phosphate 5-kinase,GO:0010256,endomembrane system organization,P
Locus_3337_Transcript_9_Length_7149_genewise_newlength_7144__CDS__1507__6729,1-phosphatidylinositol-4-phosphate 5-kinase,GO:0005739,mitochondrion,C
Locus_3337_Transcript_9_Length_7149_genewise_newlength_7144__CDS__1507__6729,1-phosphatidylinositol-4-phosphate 5-kinase,GO:0046488,phosphatidylinositol metabolic process,P
Locus_3337_Transcript_9_Length_7149_genewise_newlength_7144__CDS__1507__6729,1-phosphatidylinositol-4-phosphate 5-kinase,GO:0005524,ATP binding,F
Locus_3337_Transcript_9_Length_7149_genewise_newlength_7144__CDS__1507__6729,1-phosphatidylinositol-4-phosphate 5-kinase,GO:0044267,cellular protein metabolic process,P
Locus_14673_Transcript_2_Length_1419_genewise_newlength_1419__CDS__137__1270,12-oxophytodienoate reductase 3,GO:0009611,response to wounding,P
Locus_14673_Transcript_2_Length_1419_genewise_newlength_1419__CDS__137__1270,12-oxophytodienoate reductase 3,GO:0009620,response to fungus,P
Locus_14673_Transcript_2_Length_1419_genewise_newlength_1419__CDS__137__1270,12-oxophytodienoate reductase 3,GO:1901701,cellular response to oxygen-containing compound,P
Locus_14673_Transcript_2_Length_1419_genewise_newlength_1419__CDS__137__1270,12-oxophytodienoate reductase 3,GO:0009755,hormone-mediated signaling pathway,P
Locus_14673_Transcript_2_Length_1419_genewise_newlength_1419__CDS__137__1270,12-oxophytodienoate reductase 3,GO:0031407,oxylipin metabolic process,P
Locus_14673_Transcript_2_Length_1419_genewise_newlength_1419__CDS__137__1270,12-oxophytodienoate reductase 3,GO:0009753,response to jasmonic acid stimulus,P
Locus_14673_Transcript_2_Length_1419_genewise_newlength_1419__CDS__137__1270,12-oxophytodienoate reductase 3,GO:0005777,peroxisome,C
Locus_14673_Transcript_2_Length_1419_genewise_newlength_1419__CDS__137__1270,12-oxophytodienoate reductase 3,GO:0005829,cytosol,C
Locus_14673_Transcript_2_Length_1419_genewise_newlength_1419__CDS__137__1270,12-oxophytodienoate reductase 3,GO:0009751,response to salicylic acid stimulus,P
Locus_14673_Transcript_2_Length_1419_genewise_newlength_1419__CDS__137__1270,12-oxophytodienoate reductase 3,GO:0042430,indole-containing compound metabolic process,P
Locus_14673_Transcript_2_Length_1419_genewise_newlength_1419__CDS__137__1270,12-oxophytodienoate reductase 3,GO:0009628,response to abiotic stimulus,P
Locus_14673_Transcript_2_Length_1419_genewise_newlength_1419__CDS__137__1270,12-oxophytodienoate reductase 3,GO:0010150,leaf senescence,P
Locus_14673_Transcript_2_Length_1419_genewise_newlength_1419__CDS__137__1270,12-oxophytodienoate reductase 3,GO:0009695,jasmonic acid biosynthetic process,P
Locus_14673_Transcript_2_Length_1419_genewise_newlength_1419__CDS__137__1270,12-oxophytodienoate reductase 3,GO:0046686,response to cadmium ion,P
Locus_14673_Transcript_2_Length_1419_genewise_newlength_1419__CDS__137__1270,12-oxophytodienoate reductase 3,GO:0016629,12-oxophytodienoate reductase activity,F
Locus_14673_Transcript_2_Length_1419_genewise_newlength_1419__CDS__137__1270,12-oxophytodienoate reductase 3,GO:0010193,response to ozone,P
Locus_671_Transcript_5_Length_1429_genewise_newlength_1429__CDS__1__1182,12-oxophytodienoate reductase 3,GO:0009611,response to wounding,P
Locus_671_Transcript_5_Length_1429_genewise_newlength_1429__CDS__1__1182,12-oxophytodienoate reductase 3,GO:0009620,response to fungus,P
Locus_671_Transcript_5_Length_1429_genewise_newlength_1429__CDS__1__1182,12-oxophytodienoate reductase 3,GO:0009867,jasmonic acid mediated signaling pathway,P
Locus_671_Transcript_5_Length_1429_genewise_newlength_1429__CDS__1__1182,12-oxophytodienoate reductase 3,GO:0009414,response to water deprivation,P
Locus_671_Transcript_5_Length_1429_genewise_newlength_1429__CDS__1__1182,12-oxophytodienoate reductase 3,GO:0031407,oxylipin metabolic process,P
Locus_671_Transcript_5_Length_1429_genewise_newlength_1429__CDS__1__1182,12-oxophytodienoate reductase 3,GO:0005777,peroxisome,C
Locus_671_Transcript_5_Length_1429_genewise_newlength_1429__CDS__1__1182,12-oxophytodienoate reductase 3,GO:0005829,cytosol,C
Locus_671_Transcript_5_Length_1429_genewise_newlength_1429__CDS__1__1182,12-oxophytodienoate reductase 3,GO:0009751,response to salicylic acid stimulus,P
Locus_671_Transcript_5_Length_1429_genewise_newlength_1429__CDS__1__1182,12-oxophytodienoate reductase 3,GO:0042538,hyperosmotic salinity response,P
Locus_671_Transcript_5_Length_1429_genewise_newlength_1429__CDS__1__1182,12-oxophytodienoate reductase 3,GO:0010150,leaf senescence,P
Locus_671_Transcript_5_Length_1429_genewise_newlength_1429__CDS__1__1182,12-oxophytodienoate reductase 3,GO:0006569,tryptophan catabolic process,P
Locus_671_Transcript_5_Length_1429_genewise_newlength_1429__CDS__1__1182,12-oxophytodienoate reductase 3,GO:0009695,jasmonic acid biosynthetic process,P
Locus_671_Transcript_5_Length_1429_genewise_newlength_1429__CDS__1__1182,12-oxophytodienoate reductase 3,GO:0046686,response to cadmium ion,P
Locus_671_Transcript_5_Length_1429_genewise_newlength_1429__CDS__1__1182,12-oxophytodienoate reductase 3,GO:0009684,indoleacetic acid biosynthetic process,P
Locus_671_Transcript_5_Length_1429_genewise_newlength_1429__CDS__1__1182,12-oxophytodienoate reductase 3,GO:0009738,abscisic acid mediated signaling pathway,P
Locus_671_Transcript_5_Length_1429_genewise_newlength_1429__CDS__1__1182,12-oxophytodienoate reductase 3,GO:0016629,12-oxophytodienoate reductase activity,F
Locus_671_Transcript_5_Length_1429_genewise_newlength_1429__CDS__1__1182,12-oxophytodienoate reductase 3,GO:0010193,response to ozone,P
Locus_671_Transcript_5_Length_1429_genewise_newlength_1429__CDS__1__1182,12-oxophytodienoate reductase 3,GO:0009723,response to ethylene stimulus,P
Locus_671_Transcript_5_Length_1429_genewise_newlength_1429__CDS__1__1182,12-oxophytodienoate reductase 3,GO:0009733,response to auxin stimulus,P
Locus_8031_Transcript_7_Length_1450_genewise_newlength_1366__CDS__252__1025,14-3-3-like protein gf14 mu,GO:0042744,hydrogen peroxide catabolic process,P
Locus_8031_Transcript_7_Length_1450_genewise_newlength_1366__CDS__252__1025,14-3-3-like protein gf14 mu,GO:0006833,water transport,P
Locus_8031_Transcript_7_Length_1450_genewise_newlength_1366__CDS__252__1025,14-3-3-like protein gf14 mu,GO:0009793,embryo development ending in seed dormancy,P
Locus_8031_Transcript_7_Length_1450_genewise_newlength_1366__CDS__252__1025,14-3-3-like protein gf14 mu,GO:0009686,gibberellin biosynthetic process,P
Locus_8031_Transcript_7_Length_1450_genewise_newlength_1366__CDS__252__1025,14-3-3-like protein gf14 mu,GO:0006486,protein glycosylation,P
Locus_8031_Transcript_7_Length_1450_genewise_newlength_1366__CDS__252__1025,14-3-3-like protein gf14 mu,GO:0009965,leaf morphogenesis,P
Locus_8031_Transcript_7_Length_1450_genewise_newlength_1366__CDS__252__1025,14-3-3-like protein gf14 mu,GO:0016570,histone modification,P
Locus_8031_Transcript_7_Length_1450_genewise_newlength_1366__CDS__252__1025,14-3-3-like protein gf14 mu,GO:0043090,amino acid import,P
Locus_8031_Transcript_7_Length_1450_genewise_newlength_1366__CDS__252__1025,14-3-3-like protein gf14 mu,GO:0010114,response to red light,P
Locus_8031_Transcript_7_Length_1450_genewise_newlength_1366__CDS__252__1025,14-3-3-like protein gf14 mu,GO:0009407,toxin catabolic process,P
Locus_8031_Transcript_7_Length_1450_genewise_newlength_1366__CDS__252__1025,14-3-3-like protein gf14 mu,GO:0061062,regulation of nematode larval development,P
Locus_8031_Transcript_7_Length_1450_genewise_newlength_1366__CDS__252__1025,14-3-3-like protein gf14 mu,GO:0032880,regulation of protein localization,P
Locus_8031_Transcript_7_Length_1450_genewise_newlength_1366__CDS__252__1025,14-3-3-like protein gf14 mu,GO:0005774,vacuolar membrane,C
Locus_8031_Transcript_7_Length_1450_genewise_newlength_1366__CDS__252__1025,14-3-3-like protein gf14 mu,GO:0019344,cysteine biosynthetic process,P
Locus_8031_Transcript_7_Length_1450_genewise_newlength_1366__CDS__252__1025,14-3-3-like protein gf14 mu,GO:0051117,ATPase binding,F
Locus_8031_Transcript_7_Length_1450_genewise_newlength_1366__CDS__252__1025,14-3-3-like protein gf14 mu,GO:0009570,chloroplast stroma,C
Locus_8031_Transcript_7_Length_1450_genewise_newlength_1366__CDS__252__1025,14-3-3-like protein gf14 mu,GO:0005829,cytosol,C
Locus_8031_Transcript_7_Length_1450_genewise_newlength_1366__CDS__252__1025,14-3-3-like protein gf14 mu,GO:0006096,glycolysis,P
Locus_8031_Transcript_7_Length_1450_genewise_newlength_1366__CDS__252__1025,14-3-3-like protein gf14 mu,GO:0009651,response to salt stress,P
Locus_8031_Transcript_7_Length_1450_genewise_newlength_1366__CDS__252__1025,14-3-3-like protein gf14 mu,GO:0009506,plasmodesma,C
Locus_8031_Transcript_7_Length_1450_genewise_newlength_1366__CDS__252__1025,14-3-3-like protein gf14 mu,GO:0009266,response to temperature stimulus,P
Locus_8031_Transcript_7_Length_1450_genewise_newlength_1366__CDS__252__1025,14-3-3-like protein gf14 mu,GO:0019288,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",P
Locus_8031_Transcript_7_Length_1450_genewise_newlength_1366__CDS__252__1025,14-3-3-like protein gf14 mu,GO:0048449,floral organ formation,P
